Ticker,Sector Code,Sector,IDX Sector,Sector Index,Subsector,Industry,Subindustry,Company Name,Source
BESS,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,PT Batulicin Nusantara Maritim Tbk.,IDX Live
BEST,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Bekasi Fajar Industrial Estate Tbk,IDX Live
BFIN,G,Financials,Keuangan,IDXFINANCE,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,BFI Finance Indonesia Tbk,IDX Live
BGTG,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank Ganesha Tbk.,IDX Live
BHAT,G,Financials,Keuangan,IDXFINANCE,Asuransi,Asuransi,Asuransi Jiwa,PT Bhakti Multi Artha Tbk.,IDX Live
BHIT,C,Industrials,Perindustrian,IDXINDUST,Perusahaan Holding Multi Sektor,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,PT MNC Asia Holding Tbk,IDX Live
BIKA,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,PT Binakarya Jaya Abadi Tbk.,IDX Live
BIKE,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Barang Rekreasi,Peralatan Olah Raga & Barang Hobi,Peralatan Olah Raga & Barang Hobi,PT Bhineka Inovasi Ketahanan Energi Tbk,IDX Live
BIMA,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Alas Kaki,Primarindo Asia Infrastructure Tbk,IDX Live
BINA,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank Ina Perdana Tbk.,IDX Live
BINO,C,Industrials,Perindustrian,IDXINDUST,Jasa Perindustrian,Jasa Komersial,Peralatan Kantor,PT Perma Plasindo Tbk ,IDX Live
BIPI,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,PT Astrindo Nusantara Infrastruktur Tbk.,IDX Live
BIPP,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Bhuwanatala Indah Permai Tbk,IDX Live
BIRD,K,Transportation & Logistics,Transportasi & Logistik,IDXTRANS,Transportasi,Pengangkutan Darat Penumpang,Transportasi Jalanan,PT Blue Bird Tbk,IDX Live
BISI,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,BISI INTERNATIONAL Tbk,IDX Live
BJBR,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,IDX Live
BJTM,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,Bank Pembangunan Daerah Jawa Timur Tbk,IDX Live
BKDP,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Bukit Darmo Property Tbk,IDX Live
BKSL,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Sentul City Tbk,IDX Live
BKSW,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank QNB Indonesia Tbk,IDX Live
BLES,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Material Konstruksi,Material Konstruksi,PT Superior Prima Sukses Tbk,IDX Live
BLOG,K,Transportation & Logistics,Transportasi & Logistik,IDXTRANS,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,PT Trimitra Trans Persada Tbk,IDX Live
BLTA,K,Transportation & Logistics,Transportasi & Logistik,IDXTRANS,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Berlian Laju Tanker Tbk,IDX Live
BLTZ,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Jasa Konsumen,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga,PT Graha Layar Prima Tbk.,IDX Live
BLUE,C,Industrials,Perindustrian,IDXINDUST,Jasa Perindustrian,Jasa Komersial,Peralatan Kantor,PT Berkah Prima Perkasa Tbk,IDX Live
